Dato,Tid,Hjemmehold,Udehold,Spillested,Modested,Modetid,Sluttidspunk
12/14/2024,09:00,Midtervej,,Midtervej,,09:00,15:00
12/14/2024,09:00,Moltrup A,,Moltrup A,,09:00,15:00
12/14/2024,09:00,Moltrup B,,Moltrup B,,09:00,15:00
12/14/2024,09:00,Moltrup C,,Moltrup C,,09:00,15:00
12/14/2024,09:00,Alsted A,,Alsted A,,09:00,15:00
12/14/2024,09:00,Alsted B/D,,Alsted B/D,,09:00,15:00
12/14/2024,09:00,Alsted C,,Alsted C,,09:00,15:00
12/14/2024,09:00,Alsted E,,Alsted E,,09:00,15:00
12/14/2024,09:00,Ustrup,,Ustrup,,09:00,15:00
12/14/2024,09:00,Nyborg,,Nyborg,,09:00,15:00
12/14/2024,09:00,Tirslund A,,Tirslund A,,09:00,15:00
12/14/2024,09:00,Tirslund B,,Tirslund B,,09:00,15:00
12/14/2024,09:00,Tirslund C,,Tirslund C,,09:00,15:00
12/14/2024,09:00,Bjerlev A,,Bjerlev A,,09:00,15:00
12/14/2024,09:00,Bjerlev B,,Bjerlev B,,09:00,15:00
12/14/2024,09:00,Bjerlev C,,Bjerlev C,,09:00,15:00
12/14/2024,09:00,Fousing A,,Fousing A,,09:00,15:00
12/14/2024,09:00,Fousing B,,Fousing B,,09:00,15:00
12/14/2024,09:00,Fousing C,,Fousing C,,09:00,15:00
12/14/2024,09:00,Fousing D,,Fousing D,,09:00,15:00
